Month,Income,Food,Travel,Rent,Shopping,Bills,Entertainment,Total_Expense,Savings
Nov,20569,10142,4226,13130,9448,618,4500,42064,-21495
Jun,79900,2148,6068,27101,7138,1713,2432,46600,33300
Sep,87509,3495,5523,16699,1309,1113,1920,30059,57450
Sep,53038,3744,4478,28136,11755,4917,5396,58426,-5388
Aug,69088,3646,1361,7559,6334,4734,622,24256,44832
May,93177,4995,536,19744,8197,3973,2817,40262,52915
Jan,94466,8643,4311,14530,10280,3797,1185,42746,51720
Sep,92216,11864,2581,26021,2176,1789,2161,46592,45624
Jan,86793,12131,954,21996,7183,2880,2420,47564,39229
Aug,93786,9378,5039,29130,4097,723,3375,51742,42044
May,58138,10849,3808,18187,2724,3323,4132,43023,15115
Mar,83310,5667,4807,23268,3628,3514,4931,45815,37495
Nov,48757,11245,3711,25408,7144,3140,5456,56104,-7347
Jul,90394,14263,7345,8134,2350,1486,4400,37978,52416
Jul,99027,2576,3155,23006,8725,1523,2663,41648,57379
Sep,76151,13287,6325,21375,1619,2043,3338,47987,28164
Jul,69272,13223,1481,24666,3548,1772,3960,48650,20622
Nov,26908,6779,7004,23994,10570,2279,2419,53045,-26137
Mar,30844,10187,6947,19910,6243,2200,2597,48084,-17240
Nov,71455,4972,4891,8069,1977,4430,5783,30122,41333
Jan,88447,9756,651,11486,6543,2734,1671,32841,55606
Aug,94527,5948,6565,22639,10729,4844,1054,51779,42748
Dec,97108,8544,3794,7660,6853,3698,3707,34256,62852
Mar,63066,4045,5815,9452,4772,3659,3789,31532,31534
Dec,60004,14128,1099,28486,3533,4483,4508,56237,3767
Aug,58333,13140,1822,16869,9669,1523,5101,48124,10209
Aug,59697,3627,6148,9176,2894,4339,2316,28500,31197
May,37634,3488,2011,8686,11572,1325,2377,29459,8175
Dec,44561,14337,2758,10237,10824,3236,688,42080,2481
Jan,38033,14390,731,29045,6351,3906,1940,56363,-18330
Oct,92887,14655,7513,5790,3040,3274,1720,35992,56895
Jul,75063,11127,3242,19827,2565,991,3097,40849,34214
Dec,45921,5563,4962,19186,5125,2359,3368,40563,5358
Oct,39340,13821,5076,13416,5268,2839,2561,42981,-3641
May,82781,11906,1071,24418,3839,1091,5562,47887,34894
Aug,34901,3802,1702,19754,1467,3234,3407,33366,1535
Sep,30638,11612,2007,18067,11167,1992,2215,47060,-16422
Nov,58596,5591,2112,21609,4388,1447,4035,39182,19414
Jul,64324,5520,4066,26732,9176,2075,1111,48680,15644
Jul,52642,7896,4540,27850,7540,1182,3009,52017,625
Jan,45378,9643,2070,24563,8247,1128,3425,49076,-3698
Apr,70867,9041,5525,14003,3743,4982,783,38077,32790
Feb,93686,5311,1539,19228,11766,2740,3170,43754,49932
Feb,62875,4305,7109,9223,6642,4254,4594,36127,26748
Feb,84377,9875,1925,28904,10611,600,2127,54042,30335
Apr,74691,12187,6937,9066,11069,1593,2111,42963,31728
Jan,84303,3967,4581,25746,2026,2991,1216,40527,43776
Apr,80839,10009,670,26407,5631,4272,5129,52118,28721
Feb,69063,13906,5651,25693,9792,932,1181,57155,11908
May,98343,14227,6906,5246,4592,1036,3939,35946,62397
Mar,25492,14677,5834,27121,1987,1100,4756,55475,-29983
Dec,51357,7462,6602,23002,9797,2166,4769,53798,-2441
Aug,91838,8897,7201,16637,8238,3255,2022,46250,45588
Apr,52314,5458,688,13612,3747,818,1859,26182,26132
Jan,68697,10585,5381,10160,9330,2362,2573,40391,28306
Jan,90283,6778,5178,6371,11249,4232,2289,36097,54186
Dec,79567,5730,7645,12728,6650,2027,4075,38855,40712
Oct,67006,6365,6427,9238,5225,570,3870,31695,35311
Mar,80011,14436,1099,23996,5496,943,2984,48954,31057
Sep,30686,9547,5441,23464,10436,886,2318,52092,-21406
Jul,57449,2027,4517,10919,9833,2369,2558,32223,25226
Feb,81606,5491,3832,9324,1436,2511,3166,25760,55846
Sep,38891,8423,6625,12797,2423,3421,1933,35622,3269
Oct,72115,7301,5801,24119,10328,3851,3905,55305,16810
Feb,80719,14453,4076,27467,4721,779,3884,55380,25339
Mar,93030,8160,2889,28736,6674,1270,3572,51301,41729
Nov,56723,3173,1453,14021,9249,1453,1022,30371,26352
Oct,49877,2338,6665,8058,2136,4924,2193,26314,23563
Feb,34026,11260,5693,14041,9891,2059,4683,47627,-13601
Mar,40422,2841,2125,10334,2145,2997,2789,23231,17191
Jun,29244,14476,2370,6153,11647,3946,1655,40247,-11003
Sep,53481,14938,4761,9940,6579,3867,1097,41182,12299
Sep,78031,2293,2524,19607,10300,4047,2145,40916,37115
Jul,28521,12049,4829,17021,5495,2940,2658,44992,-16471
Dec,21746,11514,5994,8079,7499,608,2836,36530,-14784
Mar,88232,8558,6052,21786,7242,4954,2357,50949,37283
Apr,32012,3647,1140,24359,9299,1455,2214,42114,-10102
Jun,43457,6898,5953,17914,11176,3860,4238,50039,-6582
Nov,90572,13812,2327,12536,10097,3989,5396,48157,42415
May,49960,6526,5202,27303,5945,817,3284,49077,883
Feb,27910,7614,1039,28144,2992,840,3676,44305,-16395
Jun,22693,13286,7702,5980,5122,4944,702,37736,-15043
Mar,35858,13683,6063,11680,11339,2574,3398,48737,-12879
Aug,48810,13687,7898,18364,1805,1137,4072,46963,1847
Feb,40092,14774,2865,15486,2992,4996,1764,42877,-2785
Jan,68700,5801,4938,7384,8496,4963,2959,34541,34159
Sep,78105,10280,4001,16544,4600,2890,1737,40052,38053
Dec,50505,9376,4447,17320,5010,4488,2054,42695,7810
Mar,93228,14558,3526,13990,9275,3693,4242,49284,43944
Nov,48555,12148,5232,15787,5358,4436,552,43513,5042
Jan,91934,2899,4037,6366,6315,4781,4082,28480,63454
Jul,92788,5477,4674,7938,4320,2866,3659,28934,63854
Oct,97257,3744,7536,22646,8549,3502,1171,47148,50109
May,37939,14565,7216,29043,3505,2065,4604,60998,-23059
May,31825,8096,2996,11187,8828,1292,1190,33589,-1764
Jan,44151,4253,6925,13495,8885,4204,582,38344,5807
Sep,20036,13853,7318,14885,3456,2900,5644,48056,-28020
Jul,59051,13152,6700,23700,8248,854,4820,57474,1577
Aug,93596,3633,4786,20018,8868,4701,4068,46074,47522
Sep,80071,9001,5239,29293,7349,4395,2977,58254,21817
Jun,93601,9020,6082,22305,7963,4517,1951,51838,41763
Dec,49873,11053,2589,12114,4062,2752,5813,38383,11490
May,56648,10149,6105,11574,4852,1064,5737,39481,17167
Jun,91468,6701,7840,29996,5990,3953,2520,57000,34468
Nov,46470,8735,7322,10529,1387,1802,2625,32400,14070
Feb,85129,3013,3821,8809,8037,2250,1675,27605,57524
Apr,28328,5299,4081,18536,7910,3090,1579,40495,-12167
Mar,26333,3506,3049,22550,3003,757,2904,35769,-9436
Jul,66638,13397,1716,13731,10223,2095,1782,42944,23694
Sep,31268,6803,5385,27652,6745,1546,1034,49165,-17897
May,90603,2977,4478,10331,2540,2732,4348,27406,63197
Jun,37045,13653,7393,26413,9641,3094,5166,65360,-28315
Oct,60741,3817,1241,22844,4547,4577,5173,42199,18542
Dec,62770,13876,6808,9687,10288,4084,2953,47696,15074
Dec,27887,14250,7398,10357,10051,2140,2662,46858,-18971
Feb,44918,12826,4685,26123,1301,2211,2326,49472,-4554
Mar,55497,6901,2214,5327,8104,548,4498,27592,27905
Mar,81009,13858,5582,26622,3019,667,4192,53940,27069
Dec,31929,11140,7725,15285,10072,2353,2339,48914,-16985
Dec,81762,8798,4544,15323,11473,4354,4559,49051,32711
Sep,99099,2473,7930,29927,5161,4241,830,50562,48537
Jul,48546,2567,1147,26516,1229,2568,3272,37299,11247
Aug,98424,13624,3297,26116,10113,891,5578,59619,38805
Nov,57338,14215,1318,25292,8710,3450,2027,55012,2326
Oct,54283,9966,742,10291,2832,1949,4683,30463,23820
Nov,98170,4258,7306,13425,9242,728,1073,36032,62138
Sep,66566,10120,7501,20540,4678,3752,4195,50786,15780
Jun,48013,13336,6495,8122,8496,851,1023,38323,9690
Apr,72132,6310,4814,9876,5482,2772,1671,30925,41207
Dec,48084,3982,4604,24112,9944,4537,3053,50232,-2148
Jan,41143,3096,5025,18706,6887,733,4679,39126,2017
Aug,34179,8610,4377,14124,2478,765,1921,32275,1904
Jul,78726,5570,512,29379,3088,1357,2731,42637,36089
Feb,30222,8497,6394,6823,7040,998,2716,32468,-2246
Aug,79965,13582,7550,24884,9152,1376,2655,59199,20766
Dec,84068,12864,3517,9073,3993,2758,1351,33556,50512
May,43949,5646,7892,22614,4340,4694,5979,51165,-7216
Jul,36116,4419,1189,15387,3343,2144,5714,32196,3920
Apr,71052,6279,6378,9395,8188,2892,1679,34811,36241
May,71369,13540,3638,11051,2238,3824,4095,38386,32983
Aug,68817,2673,4240,6476,11428,3451,4867,33135,35682
Jan,94311,4802,1176,23407,7856,3147,2359,42747,51564
Jan,49655,9312,4074,23980,6660,2756,5501,52283,-2628
Apr,77802,4369,6827,29224,11620,1932,1237,55209,22593
Mar,67632,6530,5600,12121,5339,980,3312,33882,33750
Oct,34193,3066,4803,7430,9374,3470,3292,31435,2758
Dec,50776,7432,7171,12954,9735,2165,3318,42775,8001
Feb,63225,10073,1823,28327,3826,828,5394,50271,12954
Dec,80010,2687,3365,16881,8091,3754,5799,40577,39433
Mar,85451,2068,1502,21917,1092,916,5842,33337,52114
Nov,68812,12295,7908,22640,3415,2801,2663,51722,17090
Nov,38895,8774,3002,23041,5254,1444,5556,47071,-8176
Nov,85782,2419,2265,17085,11637,2552,3576,39534,46248
Jan,41209,14190,7545,23136,9126,2850,4661,61508,-20299
Jan,81807,12789,2053,28097,5533,1479,1026,50977,30830
Jun,43086,14530,6278,7978,7516,2156,948,39406,3680
May,47207,8891,2791,9332,5401,3154,3720,33289,13918
Aug,40897,7593,2485,25037,4032,1951,4661,45759,-4862
Feb,83083,12316,5366,8013,11165,3511,5969,46340,36743
Apr,86957,8104,737,20089,4289,3283,2351,38853,48104
Aug,98506,5892,3817,29036,11568,4503,619,55435,43071
Dec,27283,2439,2892,28484,5438,2086,4984,46323,-19040
Jun,20255,11478,4055,19008,7867,889,4882,48179,-27924
Jan,96555,3208,6953,26250,4234,4228,3347,48220,48335
Apr,35487,11270,2084,23148,6997,1349,2290,47138,-11651
Jan,39346,4563,1807,22506,7301,1318,5013,42508,-3162
Feb,55050,9466,2585,8830,2133,4135,3517,30666,24384
May,28744,13815,2319,28084,11589,4607,850,61264,-32520
Aug,44756,3253,531,7958,11965,3154,2702,29563,15193
Aug,81596,13549,7910,6540,11112,4454,5957,49522,32074
Nov,45146,5209,791,13714,3062,4606,3832,31214,13932
Mar,75032,5549,4186,16199,11392,989,2052,40367,34665
Nov,62687,2614,4887,26851,5627,2819,2750,45548,17139
Apr,66103,5078,2142,12053,4471,3428,5560,32732,33371
Oct,41976,12915,7401,10670,1468,3663,3737,39854,2122
Nov,82863,5490,6001,15690,2344,3434,4009,36968,45895
Jun,20591,5543,1077,19262,10070,1646,547,38145,-17554
Nov,26277,10102,5757,20347,7098,3323,2776,49403,-23126
Nov,81860,14707,4409,15281,4807,3005,4296,46505,35355
Oct,22260,3900,1723,23122,5736,1311,5585,41377,-19117
Mar,85883,14563,4576,25573,5957,555,4524,55748,30135
Feb,44741,7680,3152,7533,4345,1207,5894,29811,14930
Jun,57211,8751,946,15756,1588,1509,3684,32234,24977
Nov,61542,7862,3919,26653,4883,4618,2392,50327,11215
May,26869,3712,4873,23802,10521,4348,1397,48653,-21784
Oct,84732,4329,3541,10076,1091,3816,2238,25091,59641
May,39422,13811,3079,21868,1457,3989,1468,45672,-6250
Oct,55613,3194,6420,22048,2884,4826,3502,42874,12739
May,77016,8781,1922,24838,4121,4805,3660,48127,28889
Oct,80110,10162,5579,22011,11231,1900,5241,56124,23986
Dec,97922,6906,7245,14876,8642,1693,4606,43968,53954
May,54033,3378,3109,9287,6611,1997,3598,27980,26053
Mar,65213,11504,3581,19056,8952,1750,3003,47846,17367
Jul,81993,13107,7234,20171,10595,1372,5650,58129,23864
Jun,32938,2749,6168,14436,4703,2910,1970,32936,2
Apr,96695,7292,558,10166,5482,4050,3999,31547,65148
Feb,22274,2300,3659,15366,2981,2078,4252,30636,-8362
Dec,51815,6695,958,25258,10984,974,4130,48999,2816
Sep,96018,14174,603,15966,5466,4790,5560,46559,49459
Jan,38961,6624,5426,17983,3231,4066,3138,40468,-1507
Nov,40044,5837,1288,17310,9963,4548,3061,42007,-1963
Apr,41975,2277,6747,16390,6781,770,4994,37959,4016
Jan,34706,14950,7921,25924,9396,4051,4103,66345,-31639
Jun,25974,12750,1241,18064,11411,4957,886,49309,-23335
Apr,96464,5917,3906,15236,9413,4383,5949,44804,51660
May,41213,9307,2072,12476,10383,3119,4173,41530,-317
May,21950,4161,6944,5707,4315,1494,637,23258,-1308
Sep,30411,14867,3201,13624,6175,1268,4251,43386,-12975
Jan,66156,3389,5150,21325,2598,1044,3200,36706,29450
Feb,82744,10882,5223,5047,11100,1431,5077,38760,43984
Jun,37771,6732,3912,6914,5262,590,799,24209,13562
May,89810,5468,5703,22489,2542,4833,531,41566,48244
Nov,55053,12040,3476,24564,9333,1350,3004,53767,1286
Jul,72076,8141,7926,20390,1089,3468,1041,42055,30021
Mar,27045,7969,7003,29933,5406,3577,3956,57844,-30799
Mar,77623,5816,2634,21951,6490,3159,3903,43953,33670
Oct,49714,11131,927,13671,11455,1133,2591,40908,8806
Feb,54386,7037,7010,22250,4706,3728,1046,45777,8609
Mar,28562,13374,6986,16452,2209,1724,1483,42228,-13666
Oct,75048,7994,6990,6028,5978,1748,4640,33378,41670
Jan,32026,13501,6422,6813,4224,1482,879,33321,-1295
May,51589,12242,2444,25112,5856,3010,996,49660,1929
Dec,46844,11938,6739,10513,8793,4350,2415,44748,2096
May,43447,4451,7922,24910,7239,4493,5554,54569,-11122
Dec,97502,2024,6473,26187,7853,1489,2685,46711,50791
Nov,74708,7962,5755,27953,10551,2116,5003,59340,15368
Jul,83925,4556,1771,6050,2538,924,684,16523,67402
Apr,90825,9632,5479,29702,1148,1930,988,48879,41946
Mar,71574,2060,5081,11278,9065,2135,2565,32184,39390
Jan,38812,9675,6021,16798,8699,4700,2220,48113,-9301
Dec,75309,2122,5199,23036,2425,677,5691,39150,36159
Aug,84230,7616,911,19727,2717,4276,670,35917,48313
Mar,61628,12294,6590,29583,10546,1219,899,61131,497
Feb,60581,3186,2431,9708,11597,3628,4092,34642,25939
Nov,66628,7158,2995,14476,3635,3501,4152,35917,30711
Apr,45105,9864,746,10318,3363,3289,738,28318,16787
Mar,99830,11922,3317,10859,4107,1153,1840,33198,66632
Jan,89157,14833,7342,17673,6628,3122,4915,54513,34644
Mar,52442,6089,7064,27999,2501,4056,4121,51830,612
Dec,22347,4472,2671,29754,2451,3892,3069,46309,-23962
Feb,67650,13157,3831,11593,9641,4903,3075,46200,21450
Aug,37110,12469,7836,24979,2835,989,1848,50956,-13846
Jun,82170,14279,7584,9910,11780,1844,5354,50751,31419
Sep,24923,9450,3424,8254,10635,1107,2589,35459,-10536
Aug,71801,4964,7778,9453,6851,4091,733,33870,37931
Oct,82771,10104,7957,23807,3948,4619,1055,51490,31281
Mar,68135,3310,6218,29492,4935,1252,2984,48191,19944
May,39199,10346,2560,26181,7830,3548,2454,52919,-13720
Jul,29066,4212,3834,28365,4709,4944,5271,51335,-22269
May,72136,13445,5395,12937,2289,4620,4233,42919,29217
Aug,56575,11454,7690,28065,1503,3961,5899,58572,-1997
Dec,66733,8792,1444,26261,8951,1514,3775,50737,15996
May,36991,11554,2747,9177,6051,2268,5503,37300,-309
Jan,42553,11129,5861,8429,4097,1458,1302,32276,10277
May,20634,10703,1762,5184,3147,2091,5446,28333,-7699
Apr,32771,10378,6946,8133,10657,3761,1496,41371,-8600
Jun,38298,3845,5784,9978,5520,3088,1345,29560,8738
Mar,99876,9660,7381,13698,2897,3038,1819,38493,61383
Nov,55999,3702,675,27521,4716,1290,4617,42521,13478
May,91887,2390,1552,18773,9842,4767,2210,39534,52353
Feb,79648,2654,3224,23316,2210,4516,5603,41523,38125
Nov,82668,7835,3082,11174,3187,4894,741,30913,51755
Jun,89374,6271,1817,26796,9058,3598,3390,50930,38444
Dec,87509,13013,5072,22580,4820,1147,3125,49757,37752
Jun,95783,10955,7026,16877,1368,1975,3998,42199,53584
May,64440,5400,7199,26631,11536,2560,952,54278,10162
Jun,51655,7319,6311,25565,3843,1623,2129,46790,4865
Nov,63039,14998,3867,22722,4450,1115,2760,49912,13127
Jul,75255,13459,2174,27555,4518,1784,3812,53302,21953
Dec,92219,8732,833,19457,7644,2825,5217,44708,47511
May,74989,8674,5867,18562,10828,3637,1058,48626,26363
Jan,31244,3085,1764,24004,4860,4172,5467,43352,-12108
Aug,78595,7446,3677,11546,2144,3355,3215,31383,47212
Apr,59551,12121,3445,16706,4126,2123,1568,40089,19462
Sep,83230,6376,5526,27315,8660,3949,3254,55080,28150
Oct,48371,3963,5280,15352,1017,3203,1760,30575,17796
Dec,89358,11977,5156,6729,6999,1640,3270,35771,53587
Jun,48878,12466,4718,14609,2656,3330,5102,42881,5997
Jan,56157,12878,5654,17206,2596,998,949,40281,15876
Mar,25914,7177,3165,5018,10137,1603,4139,31239,-5325
Mar,47180,13160,7631,27355,2287,3589,2413,56435,-9255
Oct,23688,6572,5435,21848,1267,2252,3297,40671,-16983
Dec,98616,9543,915,13882,1434,4514,5133,35421,63195
Dec,29916,10907,1207,21268,3035,1113,5828,43358,-13442
Apr,76363,2242,3184,10310,3497,3547,5909,28689,47674
Jun,47360,8510,7994,18804,7440,1143,3045,46936,424
Jul,57805,5915,3866,29463,7037,3368,3754,53403,4402
Oct,33453,11715,4003,16253,8806,4653,5311,50741,-17288
Apr,42703,2837,4942,25404,4208,1635,4995,44021,-1318
Jun,79021,5323,6680,21546,2613,4199,5827,46188,32833
Nov,94176,4953,6319,14827,9910,2862,3961,42832,51344
Jan,27410,11537,3059,15938,8164,661,1959,41318,-13908
Aug,68268,12615,5444,5294,3231,2321,1420,30325,37943
Jul,54248,12220,4471,12240,7463,4919,3718,45031,9217
Nov,51159,3432,5130,11844,9932,3265,956,34559,16600
Nov,62039,8854,3457,6585,6695,3902,2384,31877,30162
Sep,67800,9655,7416,24764,9996,3127,1144,56102,11698
Mar,60761,10431,2229,15541,5512,4493,2829,41035,19726
Feb,63663,10330,2401,10427,8960,556,5009,37683,25980
Jan,60412,13385,5259,28196,5886,3737,2710,59173,1239
Mar,55367,10611,1541,20620,4771,2844,5438,45825,9542
May,25813,2303,526,21578,10918,1119,4756,41200,-15387
Nov,79894,4162,3083,14033,7023,3113,4850,36264,43630
Feb,71444,8486,1552,19154,6904,4761,1593,42450,28994
Dec,54269,12218,2174,21336,4512,3335,2959,46534,7735
Mar,81748,6102,3555,17199,10290,1165,3261,41572,40176
Apr,61190,8874,7301,17776,11813,627,2542,48933,12257
Jul,60318,12418,2158,27727,9103,4057,535,55998,4320
Mar,57018,3168,5235,7931,2844,4671,969,24818,32200
Sep,59759,2415,4451,19843,4924,1134,808,33575,26184
Aug,36498,12905,3688,28425,5881,4108,3768,58775,-22277
Apr,45989,7243,7799,10699,1534,4189,980,32444,13545
Jan,45568,2149,7956,29655,8577,1485,1288,51110,-5542
Jan,86577,12636,2241,26224,6730,3073,790,51694,34883
Jan,50099,8524,7903,12636,9476,1656,929,41124,8975
Jan,60639,7899,4587,6860,8987,4368,1097,33798,26841
Aug,43482,2838,4637,26945,11861,743,5027,52051,-8569
Mar,89212,8144,3731,22314,10321,1267,2057,47834,41378
Jun,75261,11888,2214,19989,9695,3717,5100,52603,22658
Mar,50048,14531,3696,23318,5141,914,1172,48772,1276
Nov,23065,12102,3831,20237,8936,3783,3354,52243,-29178
May,22036,11613,3847,9367,9728,4844,2078,41477,-19441
Jul,55814,9466,6856,18654,9253,3606,1932,49767,6047
Feb,79694,13193,2486,7171,6861,3386,540,33637,46057
Jun,36924,3320,4044,8294,6201,1361,4979,28199,8725
Jun,80204,14227,7479,18801,3383,3857,3433,51180,29024
Nov,52844,3523,1201,9747,9402,4433,1814,30120,22724
Mar,41518,7234,1954,9392,3447,4264,2315,28606,12912
Jun,37059,14070,4286,10238,5804,709,4778,39885,-2826
Oct,43052,8144,6723,7834,11586,2657,2395,39339,3713
Oct,89803,2552,7598,20435,4269,2877,1563,39294,50509
May,91524,5756,5847,17908,9568,2689,3796,45564,45960
Dec,28680,5671,7545,12116,10377,1175,5904,42788,-14108
Feb,87021,2481,7762,7928,7964,1855,637,28627,58394
Sep,40043,2599,2971,28809,8062,525,834,43800,-3757
Aug,22419,9677,6592,27134,4498,3193,4733,55827,-33408
Mar,76892,11356,5514,11494,3847,2150,5083,39444,37448
Aug,37140,14870,7159,6672,8658,3458,5171,45988,-8848
Sep,63484,14424,4760,13190,8446,4957,3176,48953,14531
Mar,83869,11195,6045,28828,9083,2182,2133,59466,24403
Mar,65210,3982,3544,9350,9978,4955,5765,37574,27636
Feb,77600,3634,4383,6287,1732,2466,5493,23995,53605
Aug,98497,9830,7636,15918,6063,3786,2033,45266,53231
Oct,26487,4997,3440,21036,8313,1495,1608,40889,-14402
Jan,80692,2686,7659,11610,8236,576,2086,32853,47839
Aug,82112,13606,5661,14250,3699,2642,4361,44219,37893
Jul,51110,7529,2320,11883,3158,1456,5628,31974,19136
Jul,36360,3759,7384,16170,4664,3544,5454,40975,-4615
Mar,69410,9023,3302,26571,11847,717,1612,53072,16338
Jan,93167,8208,4295,21514,10270,4446,1612,50345,42822
Apr,23017,9234,2963,13044,8811,2915,2766,39733,-16716
Sep,80124,4480,3871,13302,9153,3845,3389,38040,42084
May,70949,11529,7722,7734,5619,1967,849,35420,35529
Jan,78268,9476,835,6066,3193,3372,4462,27404,50864
May,86320,9770,2424,9970,11503,532,2423,36622,49698
Aug,51127,2114,5476,25172,5563,3419,5000,46744,4383
Aug,23196,14149,6049,22701,10776,3987,542,58204,-35008
May,95088,2568,5567,21668,4006,924,4045,38778,56310
Dec,61300,11745,7328,28350,5044,3578,2805,58850,2450
Sep,69714,9951,4360,12794,2210,2317,1351,32983,36731
Jan,51921,4689,3288,9114,2986,4426,5664,30167,21754
Apr,24746,6590,4625,17834,4170,4518,3892,41629,-16883
Mar,88535,5340,4106,21431,11918,4794,5609,53198,35337
Feb,85350,4988,2040,11138,8473,1214,5813,33666,51684
Aug,70345,5151,1074,26245,2748,3707,1786,40711,29634
Jul,69220,13719,720,24643,1757,4480,2982,48301,20919
Sep,42063,5015,5422,15270,10369,4883,4279,45238,-3175
Feb,91736,11013,2513,15498,1918,2524,5125,38591,53145
Apr,98946,8345,3141,29226,10311,4373,3868,59264,39682
Jun,65971,5574,6113,8415,9897,4229,4190,38418,27553
Nov,23598,9838,1253,17595,7054,3114,2616,41470,-17872
Mar,30564,13979,5872,11450,5929,1310,1548,40088,-9524
Aug,69725,3608,6183,18410,3861,2955,3115,38132,31593
Mar,79940,2559,7988,11164,5494,2530,1012,30747,49193
Dec,82085,8621,7706,12787,2807,2285,682,34888,47197
Feb,37862,14255,1520,20924,10591,2472,2601,52363,-14501
Mar,30265,9126,1988,17518,3649,1216,1604,35101,-4836
Nov,29705,7565,2461,25449,5423,1324,659,42881,-13176
Jun,75279,6435,6458,5081,2295,2227,3957,26453,48826
Feb,82471,7650,3983,8005,10812,2732,1237,34419,48052
Aug,99834,10803,7135,13408,3442,1262,2811,38861,60973
Jan,82979,12355,937,5334,8639,521,3168,30954,52025
Jul,75828,3881,978,16103,3595,2759,3553,30869,44959
Feb,66104,6169,1282,13944,6137,3805,3880,35217,30887
Oct,60934,5863,7592,16953,2072,4767,3615,40862,20072
Dec,26050,9436,5603,15943,5075,2041,700,38798,-12748
Jun,63952,5708,4667,28452,10641,4839,1807,56114,7838
Dec,28484,3709,5177,8897,4942,920,2694,26339,2145
Feb,82648,9860,719,29342,2771,4044,3975,50711,31937
Feb,79945,11953,1527,29485,6675,4936,5306,59882,20063
Oct,73678,3692,7646,9648,2017,2483,4589,30075,43603
Aug,51323,11437,789,14674,4692,622,2269,34483,16840
Dec,55361,2125,879,22166,9710,933,3755,39568,15793
Feb,30315,14944,4473,24970,3351,4665,3094,55497,-25182
Jul,67968,3199,3351,8794,10327,3982,2438,32091,35877
Mar,46519,8092,1878,20344,3772,3384,1732,39202,7317
Aug,29107,4711,7386,17874,1911,3138,5467,40487,-11380
Jul,75781,13638,2458,10597,10007,4377,1074,42151,33630
Aug,23869,11182,2627,12050,1973,2115,581,30528,-6659
Jul,47370,13257,565,10051,11154,4308,762,40097,7273
Nov,82695,11713,2683,22126,11602,726,4338,53188,29507
Jun,80422,8228,4994,9544,4102,1035,3470,31373,49049
Jul,27971,7995,4274,17875,8462,1622,785,41013,-13042
May,45651,10182,4942,9355,2800,4865,522,32666,12985
Jul,76974,7502,4419,24992,1808,4034,4167,46922,30052
Jan,43446,14920,6580,24655,6438,1158,4490,58241,-14795
Jan,58108,7760,6702,23894,6133,3607,4045,52141,5967
Sep,95179,7582,1277,13285,9761,2821,4801,39527,55652
May,23823,4498,3066,18308,1969,1666,1955,31462,-7639
May,33454,4565,2403,27439,5079,2471,594,42551,-9097
Mar,23932,8989,3261,22759,2879,516,3022,41426,-17494
May,30220,6790,7620,7516,4319,2403,5995,34643,-4423
Mar,94090,12789,7904,27622,5705,2112,636,56768,37322
Sep,87965,7024,4351,18155,7611,4206,2537,43884,44081
Sep,48208,10307,578,21474,1387,935,2749,37430,10778
Jun,92980,3031,2081,20403,9067,4571,5538,44691,48289
Jan,30510,3241,6374,6479,6957,3955,4170,31176,-666
Jul,64045,3742,2662,22338,3489,2504,4669,39404,24641
Jul,30537,7709,1485,13214,8509,3233,1845,35995,-5458
Oct,92683,7999,1985,17310,9707,762,5144,42907,49776
Oct,89134,13830,6245,24689,6937,2941,3184,57826,31308
Apr,92254,14591,6769,23105,4844,1307,1499,52115,40139
Aug,33782,6090,6221,26836,3890,3012,3737,49786,-16004
Jun,85587,12167,3120,7547,2442,857,1524,27657,57930
Apr,95720,10160,1464,9923,1722,2901,5957,32127,63593
Apr,98004,8883,3047,21572,9947,1774,4886,50109,47895
Feb,42072,14375,1328,21207,3250,4971,4666,49797,-7725
Feb,92746,7129,3673,5459,2908,1488,4703,25360,67386
Dec,65702,6403,3173,7236,3586,517,3145,24060,41642
Apr,26057,8577,5793,25830,9577,2238,5800,57815,-31758
May,50916,6897,7095,5580,7126,3263,3596,33557,17359
Aug,47268,2163,7759,23545,7773,3497,2333,47070,198
Jun,63978,5310,2218,19439,9190,1413,5884,43454,20524
Apr,43259,5388,2932,9715,5087,1065,2750,26937,16322
Nov,73583,2995,1728,15626,10683,3412,4134,38578,35005
Jul,99400,8161,2910,10897,6078,1852,1998,31896,67504
Aug,54293,3877,4278,24286,9142,1971,5839,49393,4900
Feb,27043,12015,2340,13664,11159,3663,1068,43909,-16866
Dec,70430,10103,997,22242,4318,1111,5701,44472,25958
Jul,58893,12487,1036,16181,4038,1562,4759,40063,18830
Feb,60642,5264,3805,23824,10264,935,5525,49617,11025
Feb,98065,3348,6659,16898,11492,1147,1792,41336,56729
Aug,50868,11995,7624,6712,1768,2909,5802,36810,14058
Feb,46309,4251,1664,21899,11871,4517,4775,48977,-2668
Nov,43284,13092,2471,12355,10178,3109,3145,44350,-1066
Sep,89000,9290,7263,15585,6557,582,971,40248,48752
Dec,82107,11785,4027,22759,11551,2289,5730,58141,23966
Jan,85049,10018,799,28068,6262,1550,4121,50818,34231
Sep,49265,8590,2886,8669,1196,4338,1031,26710,22555
Jan,43880,9658,4898,19382,3307,4616,2489,44350,-470
Oct,20255,2432,4463,20436,2389,3241,1108,34069,-13814
Oct,21502,7743,5187,23774,7739,1297,1582,47322,-25820
Feb,90192,7247,4671,8262,6311,3026,1474,30991,59201
